date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:35	13/13	---M--	200	added ('OK')	text/plain	etag:%2258db68d6-d%22	https://pixinvent.com/robots.txt		(from )
16:53:35	142246/142246	---MCZ	200	added ('OK')	text/html	etag:W/%225d6e3bda-22ba6%22	https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/index.html	(from )
16:53:35	7319/7319	---M--	200	added ('OK')	image/png	etag:%225bf91975-1c97%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/images/ico/apple-icon-120.png	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/images/ico/apple-icon-120.png	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
16:53:35	313/313	---MCZ	200	added ('OK')	text/css	etag:W/%225bfbdd5e-139%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/css/vendors.min.css	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/css/vendors.min.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
16:53:36	6654/6654	---MCZ	200	added ('OK')	text/css	etag:W/%225bf91975-19fe%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/charts/jquery-jvectormap-2.0.3.css	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/charts/jquery-jvectormap-2.0.3.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
16:53:36	432/432	---MCZ	200	added ('OK')	text/css	etag:W/%225bf91975-1b0%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/charts/morris.css	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/charts/morris.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
16:53:36	2208/2208	---MCZ	200	added ('OK')	text/css	etag:W/%225bf91975-8a0%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/extensions/unslider.css	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/extensions/unslider.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
16:53:36	66232/66232	---MCZ	200	added ('OK')	text/css	etag:W/%225bf91975-102b8%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/weather-icons/climacons.min.css	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/weather-icons/climacons.min.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
16:53:36	109/109	---M--	200	added ('OK')	text/css	etag:%225bfbdcd7-6d%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/css/app.min.css	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/css/app.min.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
16:53:37	4400/4400	---MCZ	200	added ('OK')	text/css	etag:W/%225bfbbea3-1130%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/css/core/menu/menu-types/horizontal-menu.min.css	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/css/core/menu/menu-types/horizontal-menu.min.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
16:53:37	86404/86404	---MCZ	200	added ('OK')	text/css	etag:W/%225bfbbea2-15184%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/css/core/colors/palette-gradient.min.css	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/css/core/colors/palette-gradient.min.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
16:53:37	1817/1817	---MCZ	200	added ('OK')	text/css	etag:W/%225bfbbea2-719%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/css/plugins/calendars/clndr.min.css	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/css/plugins/calendars/clndr.min.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
16:53:37	23570/23570	---MCZ	200	added ('OK')	text/css	etag:W/%225bf91975-5c12%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/fonts/meteocons/style.min.css	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/fonts/meteocons/style.min.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
16:53:38	506/506	---MCZ	200	added ('OK')	text/css	etag:W/%225bfbbeb4-1fa%22	https://pixinvent.com/bootstrap-admin-template/robust/assets/css/style.css	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/assets/css/style.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
16:53:38	142246/142246	---MCZ	200	added ('OK')	text/html	etag:W/%225d6e3bda-22ba6%22	https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/index.html	C:/My%20Web%20Sites/Robust%20Admin/pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/index-2.html	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/horizontal-menu-template/)
